Date,Open,High,Low,Close,Volume,EMA4,EMA9,EMA18,RSI,STOCHRSIK,STOCHRSID,MACDs,MACDh,MACD,BBUPPER,BBMIDDLE,BBLOWER,ADX
2022-01-23 12:30:00,2433.2,2434.5,2423.39,2430.21,3457.63,2435.35,2451.48,2468.97,32.0,12.0,6.0,-6.0,-9.0,-16.0,2550.24,2484.79,2419.34,31.01
2022-01-23 12:45:00,2430.21,2435.66,2419.0,2432.49,3955.13,2434.2,2447.68,2465.13,33.0,18.0,12.0,-8.0,-8.0,-16.0,2546.02,2480.16,2414.31,32.73
2022-01-23 13:00:00,2432.49,2454.44,2426.46,2439.17,7709.4,2436.19,2445.98,2462.4,37.0,23.0,18.0,-10.0,-7.0,-17.0,2539.09,2475.65,2412.21,32.7
2022-01-23 13:15:00,2439.17,2445.81,2418.22,2418.37,5780.0,2429.06,2440.46,2457.76,31.0,22.0,21.0,-12.0,-6.0,-18.0,2533.68,2470.4,2407.12,32.98
2022-01-23 13:30:00,2418.37,2430.0,2415.74,2422.98,3320.77,2426.63,2436.96,2454.1,34.0,23.0,23.0,-13.0,-6.0,-19.0,2530.0,2466.25,2402.5,33.34
2022-01-23 13:45:00,2423.14,2436.87,2421.56,2426.37,1916.84,2426.53,2434.84,2451.18,35.0,21.0,22.0,-14.0,-5.0,-19.0,2526.89,2462.78,2398.66,33.1
2022-01-23 14:00:00,2426.38,2445.01,2423.04,2440.11,2158.01,2431.96,2435.9,2450.02,42.0,35.0,26.0,-15.0,-3.0,-17.0,2522.76,2460.01,2397.26,32.24
2022-01-23 14:15:00,2440.11,2440.95,2431.52,2438.33,1969.16,2434.51,2436.38,2448.79,42.0,58.0,38.0,-15.0,-1.0,-16.0,2519.76,2457.65,2395.54,31.44
2022-01-23 14:30:00,2438.32,2446.39,2435.44,2440.0,1889.22,2436.7,2437.11,2447.86,42.0,82.0,58.0,-15.0,-0.0,-15.0,2515.07,2454.99,2394.91,30.26
2022-01-23 14:45:00,2440.0,2446.24,2435.79,2437.18,1677.22,2436.89,2437.12,2446.74,41.0,95.0,79.0,-15.0,1.0,-14.0,2511.55,2452.67,2393.79,29.16
2022-01-23 15:00:00,2437.17,2446.4,2426.72,2431.07,2937.47,2434.56,2435.91,2445.09,39.0,90.0,89.0,-15.0,1.0,-14.0,2505.96,2449.62,2393.27,28.69
2022-01-23 15:15:00,2431.07,2434.33,2418.54,2429.17,5334.2,2432.41,2434.56,2443.41,38.0,81.0,89.0,-14.0,1.0,-14.0,2500.25,2446.62,2393.0,28.69
2022-01-23 15:30:00,2429.17,2433.54,2421.58,2423.17,2670.0,2428.71,2432.28,2441.28,36.0,65.0,79.0,-14.0,1.0,-14.0,2490.9,2442.81,2394.72,28.69
2022-01-23 15:45:00,2423.17,2426.93,2406.17,2414.32,4965.18,2422.96,2428.69,2438.44,33.0,45.0,64.0,-14.0,-0.0,-14.0,2480.03,2438.61,2397.19,29.44
